UTC Time,Latitude,Longitude,Altitude,Fix type,PDOP,HDOP,VDOP
00:01:53.000,52.37814783333334 N,4.899467333333334 E,0.0 m,2D,6.3,6.2,1.0
00:01:54.000,52.378148 N,4.899467333333334 E,0.0 m,2D,6.3,6.2,1.0
00:01:55.000,52.37814816666667 N,4.899467333333334 E,0.0 m,2D,6.3,6.2,1.0
00:01:56.000,52.378148333333336 N,4.899467333333334 E,0.0 m,3D,13.9,10.3,9.3
00:01:57.000,52.3781485 N,4.899467333333334 E,0.0 m,2D,6.3,6.2,1.0
00:01:58.000,52.37814866666667 N,4.8994675 E,0.0 m,2D,6.3,6.2,1.0
00:01:59.000,52.378148833333334 N,4.8994675 E,0.0 m,2D,6.3,6.2,1.0
00:02:00.000,52.378149 N,4.8994675 E,0.0 m,2D,6.3,6.2,1.0
00:02:01.000,52.37814916666667 N,4.8994675 E,0.0 m,2D,6.3,6.2,1.0
00:02:02.000,52.37814933333333 N,4.8994675 E,0.0 m,2D,6.1,6.0,1.0
00:02:03.000,52.3781495 N,4.8994675 E,0.0 m,2D,6.0,6.0,1.0
00:02:04.000,52.378149666666665 N,4.8994675 E,0.0 m,2D,6.0,6.0,1.0
00:02:05.000,52.37814983333333 N,4.8994675 E,0.0 m,2D,6.3,6.2,1.0
00:02:06.000,52.37814983333333 N,4.899467666666666 E,0.0 m,2D,6.3,6.2,1.0
00:02:07.000,52.37815 N,4.899467666666666 E,0.0 m,2D,6.3,6.2,1.0
00:02:08.000,52.378150166666664 N,4.899467666666666 E,0.0 m,2D,6.3,6.2,1.0
00:02:09.000,52.37815033333333 N,4.899467666666666 E,0.0 m,2D,6.2,6.2,1.0
00:02:10.000,52.37815033333333 N,4.899467666666666 E,0.0 m,2D,6.2,6.2,1.0
00:02:11.000,52.3781505 N,4.899467666666666 E,0.0 m,2D,6.2,6.2,1.0
00:02:12.000,52.37815066666667 N,4.899467666666666 E,0.0 m,3D,6.5,3.6,5.5
00:02:13.000,52.37815066666667 N,4.899467666666666 E,0.0 m,2D,6.2,6.2,1.0
00:02:14.000,52.378150833333336 N,4.899467666666666 E,0.0 m,2D,6.2,6.1,1.0
00:02:15.000,52.378151 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:16.000,52.378151 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:17.000,52.37815116666667 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:18.000,52.378151333333335 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:19.000,52.378151333333335 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:20.000,52.3781515 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:21.000,52.3781515 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:22.000,52.37815166666667 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:23.000,52.37815166666667 N,4.8994678333333335 E,0.0 m,3D,13.3,9.9,8.9
00:02:24.000,52.378151833333334 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:25.000,52.378152 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:26.000,52.378152 N,4.8994678333333335 E,0.0 m,2D,6.2,6.1,1.0
00:02:27.000,52.378152166666666 N,4.899468 E,0.0 m,2D,6.2,6.1,1.0
00:02:28.000,52.378152166666666 N,4.899468 E,0.0 m,2D,6.2,6.1,1.0
00:02:29.000,52.37815233333333 N,4.899468 E,0.0 m,2D,6.2,6.1,1.0
00:02:30.000,52.3781525 N,4.899468 E,0.0 m,2D,6.2,6.1,1.0
00:02:31.000,52.3781525 N,4.899468 E,0.0 m,2D,6.2,6.1,1.0
00:02:32.000,52.378152666666665 N,4.899468 E,0.0 m,2D,6.2,6.1,1.0
00:02:33.000,52.378152666666665 N,4.899468 E,0.0 m,2D,6.2,6.1,1.0
00:02:34.000,52.37815283333333 N,4.899468 E,0.0 m,2D,6.2,6.1,1.0
