UTC Time,Latitude,Longitude,Altitude,Fix type,PDOP,HDOP,VDOP
00:02:35.000,52.37815283333333 N,4.899468 E,0.0 m,2D,6.2,6.1,1.0
00:02:36.000,52.378153 N,4.899468166666667 E,0.0 m,2D,6.2,6.1,1.0
00:02:37.000,52.378153 N,4.899468166666667 E,0.0 m,2D,6.1,6.1,1.0
00:02:38.000,52.378153166666664 N,4.899468166666667 E,0.0 m,3D,5.9,4.8,3.4
00:02:39.000,52.378153166666664 N,4.899468166666667 E,0.0 m,2D,6.1,6.1,1.0
00:02:40.000,52.37815333333333 N,4.899468166666667 E,0.0 m,2D,6.1,6.1,1.0
00:02:41.000,52.37815333333333 N,4.899468166666667 E,0.0 m,2D,6.1,6.1,1.0
00:02:42.000,52.3781535 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:43.000,52.3781535 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:44.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:45.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:46.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:47.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:48.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:49.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:50.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:51.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:52.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:53.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:54.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:55.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:56.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:57.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:58.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:02:59.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:03:00.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
00:03:01.000,52.37815366666667 N,4.899468166666667 E,0.0 m,2D,6.1,6.0,1.0
